node_index,split_feature_indx,split_feature,threshold,decision_type,left_child,right_child,leaf_value,thres_vis,condition,conditions,2024-05-11,2024-05-12,ratio
262.0,,,,,,,6091.743777492971,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & trade_amt <= 1341.0090000000002 & ~(trade_amt <= 447.52258250000006) & ~(trade_amt <= 848.6148904000001) & ~(trade_amt <= 1069.8503000000003),175108.5492256,168798.57542999997,0.00028328857123479284
263.0,,,,,,,6168.790157754649,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & trade_amt <= 2867.1125000000006 & trade_amt <= 2042.6788330000002 & trade_amt <= 1709.20673,193344.45077640002,144753.9322759,0.002181489021580866
264.0,,,,,,,6263.039906435642,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & trade_amt <= 2867.1125000000006 & trade_amt <= 2042.6788330000002 & ~(trade_amt <= 1709.20673),256822.9160524,167657.87876849997,0.0040030968169577135
265.0,,,,,,,6338.177018206113,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & trade_amt <= 2867.1125000000006 & ~(trade_amt <= 2042.6788330000002) & trade_amt <= 2379.674175400001,153964.2107774,127947.77837079999,0.001168017206383887
266.0,,,,,,,6438.888811728544,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & trade_amt <= 2867.1125000000006 & ~(trade_amt <= 2042.6788330000002) & ~(trade_amt <= 2379.674175400001),188343.1724953,229978.9954889,-0.0018692554343516196
267.0,,,,,,,6525.440982925068,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & ~(trade_amt <= 2867.1125000000006) & trade_amt <= 3651.3120000000004 & trade_amt <= 3107.390178,94862.6525804,95131.1792816,-1.2055604030302549e-05
268.0,,,,,,,6625.543336519993,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & ~(trade_amt <= 2867.1125000000006) & trade_amt <= 3651.3120000000004 & ~(trade_amt <= 3107.390178),132540.32126590004,93801.49791729999,0.0017391935803908313
269.0,,,,,,,6820.409038285192,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & ~(trade_amt <= 2867.1125000000006) & ~(trade_amt <= 3651.3120000000004) & trade_amt <= 4791.126414000001,159861.5065331,107374.06272510001,0.0023564429022673705
270.0,,,,,,,7011.416904746243,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & trade_amt <= 5248.867955000001 & ~(trade_amt <= 1341.0090000000002) & ~(trade_amt <= 2867.1125000000006) & ~(trade_amt <= 3651.3120000000004) & ~(trade_amt <= 4791.126414000001),74595.66264930001,84031.23750100001,-0.00042361356878865684
271.0,,,,,,,7181.348937295403,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001) & trade_amt <= 12305.562325000003 & trade_amt <= 8162.22814265 & trade_amt <= 7157.771794000001 & trade_amt <= 5877.497,113683.2850335,67193.2239426,0.0020871882213271404
272.0,,,,,,,7393.40772759317,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & trade_amt <= 23563.36975 & ~(trade_amt <= 5248.867955000001) & trade_amt <= 12305.562325000003 & trade_amt <= 8162.22814265 & trade_amt <= 7157.771794000001 & ~(trade_amt <= 5877.497),177678.8609576,239604.8848746,-0.002780191393176829
295.0,,,,,,,16432.913383707888,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & ~(trade_amt <= 40620.40480000001) & trade_amt <= 45124.71285 & trade_amt <= 44248.57525 & trade_amt <= 44000.414350000014,915134.9574000001,433564.528,0.021620279784486624
296.0,,,,,,,16582.082190783538,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & ~(trade_amt <= 40620.40480000001) & trade_amt <= 45124.71285 & trade_amt <= 44248.57525 & ~(trade_amt <= 44000.414350000014),1014640.7927000001,352979.3642,0.029705530766489154
297.0,,,,,,,16678.617100893567,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & ~(trade_amt <= 40620.40480000001) & trade_amt <= 45124.71285 & ~(trade_amt <= 44248.57525) & trade_amt <= 44769.76010000001,1735663.8967999998,1024065.5445000002,0.03194746714426413
298.0,,,,,,,16781.722688624715,,,trade_amt <= 388943.6703500001 & trade_amt <= 104567.53450000002 & ~(trade_amt <= 23563.36975) & trade_amt <= 51686.75600000001 & ~(trade_amt <= 40620.40480000001) & trade_amt <= 45124.71285 & ~(trade_amt <= 44248.57525) & ~(trade_amt <= 44769.76010000001),1078364.5176,314578.201,0.03429046480496893
